accession	reason
ERX660181	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660182	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660183	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660184	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660185	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660186	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660187	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660188	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660189	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660190	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660191	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660192	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660193	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660194	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660195	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660196	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660197	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660198	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660199	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660200	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660201	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660202	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660203	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660204	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660205	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660206	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660207	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660208	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660209	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660210	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660211	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660212	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660213	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660214	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660215	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660216	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660217	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660218	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660219	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660220	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660221	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660222	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660223	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660224	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660225	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660226	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660227	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660228	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660229	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660230	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660231	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660232	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660233	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660234	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660235	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660236	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660237	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660238	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660239	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660240	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660241	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660242	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660243	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660244	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660245	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660246	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660247	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660248	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660249	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660250	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660251	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660252	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660253	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660254	Failed mean read length (50 bp) filter, expected > 75 bp
ERX660255	Failed mean read length (50 bp) filter, expected > 75 bp
SRX7845428	Failed base count (19600553 bp) filter, expected > 74407840 bp
SRX467607	Failed mean read length (33 bp) filter, expected > 75 bp
SRX9274472	Failed base count (73778229 bp) filter, expected > 74407840 bp
SRX9274423	Failed base count (52508352 bp) filter, expected > 74407840 bp
SRX9274404	Failed base count (54488721 bp) filter, expected > 74407840 bp
SRX762044	Failed mean read length (56 bp) filter, expected > 75 bp
SRX762048	Failed mean read length (56 bp) filter, expected > 75 bp
SRX762056	Failed mean read length (57 bp) filter, expected > 75 bp
SRX762065	Failed mean read length (57 bp) filter, expected > 75 bp
SRX762383	Failed base count (43864290 bp) filter, expected > 74407840 bp
SRX762449	Failed base count (62542410 bp) filter, expected > 74407840 bp
SRX762513	Failed base count (34296530 bp) filter, expected > 74407840 bp
SRX762690	Failed base count (59899841 bp) filter, expected > 74407840 bp
SRX762747	Failed base count (51193240 bp) filter, expected > 74407840 bp
SRX066444	Failed mean read length (42 bp) filter, expected > 75 bp
SRX1530086	Failed mean read length (49 bp) filter, expected > 75 bp
SRX1530087	Failed mean read length (49 bp) filter, expected > 75 bp
SRX1530088	Failed mean read length (52 bp) filter, expected > 75 bp
SRX1530089	Failed base count (46239820 bp) filter, expected > 74407840 bp
SRX1530090	Failed mean read length (58 bp) filter, expected > 75 bp
SRX1530091	Failed mean read length (58 bp) filter, expected > 75 bp
SRX1530092	Failed mean read length (49 bp) filter, expected > 75 bp
SRX1530093	Failed mean read length (57 bp) filter, expected > 75 bp
SRX1530094	Failed mean read length (56 bp) filter, expected > 75 bp
SRX1530095	Failed mean read length (57 bp) filter, expected > 75 bp
