g00704_00001	g00704	60	49
g00704_00002	g00704	70	49
g00704_00003	g00704	80	49
g00704_00004	g00704	90	49
g00704_00005	g00704	95	49
g00704_00006	g00704	98	49
g01134	g01134	50	49
g01134_00001	g01134	60	49
g01134_00002	g01134	70	49
g01134_00003	g01134	80	49
g01134_00004	g01134	90	49
g01134_00005	g01134	95	49
g01134_00006	g01134	98	49
g01067	g01067	50	49
g01067_00001	g01067	60	49
g01067_00002	g01067	70	49
g01067_00003	g01067	80	49
g01067_00004	g01067	90	49
g01067_00005	g01067	95	49
g01067_00006	g01067	98	49
g00234	g00234	50	49
g00234_00001	g00234	60	49
g00234_00002	g00234	70	49
g00234_00003	g00234	80	49
g00234_00004	g00234	90	49
g00234_00005	g00234	95	49
g00234_00006	g00234	98	49
g00418	g00418	50	49
g00418_00001	g00418	60	49
g00418_00002	g00418	70	49
g00418_00003	g00418	80	49
g00418_00004	g00418	90	49
g00418_00005	g00418	95	49
g00418_00006	g00418	98	49
g01385	g01385	50	49
g01385_00001	g01385	60	49
g01385_00002	g01385	70	49
g01385_00003	g01385	80	49
g01385_00004	g01385	90	49
g01385_00005	g01385	95	49
g01385_00006	g01385	98	26
g01385_00007	g01385	98	23
g00347	g00347	50	49
g00347_00001	g00347	60	49
g00347_00002	g00347	70	49
g00347_00003	g00347	80	49
g00347_00004	g00347	90	49
g00347_00005	g00347	95	49
g00347_00006	g00347	98	49
g01302	g01302	50	49
g01302_00001	g01302	60	49
g01302_00002	g01302	70	49
g01302_00003	g01302	80	49
g01302_00004	g01302	90	49
g01302_00005	g01302	95	49
g01302_00006	g01302	98	26
g01302_00007	g01302	98	23
g01293	g01293	50	49
g01293_00001	g01293	60	49
g01293_00002	g01293	70	49
g01293_00003	g01293	80	49
g01293_00004	g01293	90	49
g01293_00005	g01293	95	49
g01293_00006	g01293	98	26
g01293_00007	g01293	98	23
g00034	g00034	50	49
g00034_00001	g00034	60	49
g00034_00002	g00034	70	49
g00034_00003	g00034	80	49
g00034_00004	g00034	90	49
g00034_00005	g00034	95	49
g00034_00006	g00034	98	49
g00974	g00974	50	49
g00974_00001	g00974	60	49
g00974_00002	g00974	70	49
g00974_00003	g00974	80	49
g00974_00004	g00974	90	49
g00974_00005	g00974	95	49
g00974_00006	g00974	98	49
g00694	g00694	50	49
g00694_00001	g00694	60	49
g00694_00002	g00694	70	49
g00694_00003	g00694	80	49
g00694_00004	g00694	90	49
g00694_00005	g00694	95	49
g00694_00006	g00694	98	49
g00589	g00589	50	49
g00589_00001	g00589	60	49
g00589_00002	g00589	70	49
g00589_00003	g00589	80	49
g00589_00004	g00589	90	49
g00589_00005	g00589	95	49
g00589_00006	g00589	98	49
g01893	g01893	50	40
g01893_00001	g01893	60	40
g01893_00002	g01893	70	40
g01893_00003	g01893	80	40
g01893_00004	g01893	90	40
g01893_00005	g01893	95	40
g01893_00006	g01893	98	40
g00495	g00495	50	49
g00495_00001	g00495	60	49
g00495_00002	g00495	70	49
g00495_00003	g00495	80	49
g00495_00004	g00495	90	49
g00495_00005	g00495	95	49
g00495_00006	g00495	98	49
g01557	g01557	50	49
g01557_00001	g01557	60	49
g01557_00002	g01557	70	49
g01557_00003	g01557	80	49
g01557_00004	g01557	90	49
g01557_00005	g01557	95	49
g01557_00006	g01557	98	26
g01557_00007	g01557	98	23
g01135	g01135	50	49
g01135_00001	g01135	60	49
g01135_00002	g01135	70	49
g01135_00003	g01135	80	49
g01135_00004	g01135	90	49
g01135_00005	g01135	95	49
g01135_00006	g01135	98	49
g00292	g00292	50	49
g00292_00001	g00292	60	49
g00292_00002	g00292	70	49
g00292_00003	g00292	80	49
g00292_00004	g00292	90	49
g00292_00005	g00292	95	49
g00292_00006	g00292	98	49
g00664	g00664	50	49
g00664_00001	g00664	60	49
g00664_00002	g00664	70	49
g00664_00003	g00664	80	49
g00664_00004	g00664	90	49
g00664_00005	g00664	95	49
g00664_00006	g00664	98	49
g00061	g00061	50	49
g00061_00001	g00061	60	49
g00061_00002	g00061	70	49
g00061_00003	g00061	80	49
g00061_00004	g00061	90	49
g00061_00005	g00061	95	49
g00061_00006	g00061	98	49
g01404	g01404	50	49
g01404_00001	g01404	60	49
g01404_00002	g01404	70	49
g01404_00003	g01404	80	49
g01404_00004	g01404	90	49
g01404_00005	g01404	95	49
g01404_00006	g01404	98	26
g01404_00007	g01404	98	23
g00861	g00861	50	49
g00861_00001	g00861	60	49
g00861_00002	g00861	70	49
g00861_00003	g00861	80	49
g00861_00004	g00861	90	49
g00861_00005	g00861	95	49
g00861_00006	g00861	98	49
g00701	g00701	50	49
g00701_00001	g00701	60	49
g00701_00002	g00701	70	49
g00701_00003	g00701	80	49
g00701_00004	g00701	90	49
g00701_00005	g00701	95	49
g00701_00006	g00701	98	49
g00163	g00163	50	49
g00163_00001	g00163	60	49
g00163_00002	g00163	70	49
g00163_00003	g00163	80	49
g00163_00004	g00163	90	49
g00163_00005	g00163	95	49
g00163_00006	g00163	98	49
g00515	g00515	50	49
g00515_00001	g00515	60	49
g00515_00002	g00515	70	49
g00515_00003	g00515	80	49
g00515_00004	g00515	90	49
g00515_00005	g00515	95	49
g00515_00006	g00515	98	49
g00804	g00804	50	49
g00804_00001	g00804	60	49
g00804_00002	g00804	70	49
g00804_00003	g00804	80	49
g00804_00004	g00804	90	49
g00804_00005	g00804	95	49
g00804_00006	g00804	98	49
g01143	g01143	50	49
g01143_00001	g01143	60	49
g01143_00002	g01143	70	49
g01143_00003	g01143	80	49
g01143_00004	g01143	90	49
g01143_00005	g01143	95	49
g01143_00006	g01143	98	49
g00209	g00209	50	49
g00209_00001	g00209	60	49
g00209_00002	g00209	70	49
g00209_00003	g00209	80	49
g00209_00004	g00209	90	49
g00209_00005	g00209	95	49
g00209_00006	g00209	98	49
g00488	g00488	50	49
g00488_00001	g00488	60	49
g00488_00002	g00488	70	49
g00488_00003	g00488	80	49
g00488_00004	g00488	90	49
g00488_00005	g00488	95	49
g00488_00006	g00488	98	49
g00399	g00399	50	49
g00399_00001	g00399	60	49
g00399_00002	g00399	70	49
g00399_00003	g00399	80	49
g00399_00004	g00399	90	49
g00399_00005	g00399	95	49
g00399_00006	g00399	98	49
g00184	g00184	50	49
g00184_00001	g00184	60	49
g00184_00002	g00184	70	49
g00184_00003	g00184	80	49
g00184_00004	g00184	90	49
g00184_00005	g00184	95	49
g00184_00006	g00184	98	49
g00452	g00452	50	49
g00452_00001	g00452	60	49
g00452_00002	g00452	70	49
g00452_00003	g00452	80	49
g00452_00004	g00452	90	49
g00452_00005	g00452	95	49
g00452_00006	g00452	98	49
g00226	g00226	50	49
g00226_00001	g00226	60	49
g00226_00002	g00226	70	49
g00226_00003	g00226	80	49
g00226_00004	g00226	90	49
g00226_00005	g00226	95	49
g00226_00006	g00226	98	49
g01672	g01672	50	23
g01672_00001	g01672	60	23
g01672_00002	g01672	70	23
g01672_00003	g01672	80	23
g01672_00004	g01672	90	23
g01672_00005	g01672	95	23
g01672_00006	g01672	98	23
g00385	g00385	50	49
g00385_00001	g00385	60	49
g00385_00002	g00385	70	49
g00385_00003	g00385	80	49
g00385_00004	g00385	90	49
g00385_00005	g00385	95	49
g00385_00006	g00385	98	49
